Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6df666f379e5e402f1c6264d2627b7b4662e8b41b8c16eba2351a7221f42d37a,2019-03,Merseyside Police,Merseyside Police,-2.985957,53.432794,On or near PANSY STREET,E01006778,Liverpool 014E,Unable to prosecute suspect
6df666f379e5e402f1c6264d2627b7b4662e8b41b8c16eba2351a7221f42d37a,2019-03,Merseyside Police,Merseyside Police,-2.985957,53.432794,On or near PANSY STREET,E01006778,Liverpool 014E,Unable to prosecute suspect
9462b9351b2e347be8c6ea2e7029a5bf290ef74e3c76cc1dc0d17ccbd5497207,2019-03,Merseyside Police,Merseyside Police,-2.967692,53.458940,On or near BROOMFIELD GARDENS,E01006786,Liverpool 003E,Suspect charged
9462b9351b2e347be8c6ea2e7029a5bf290ef74e3c76cc1dc0d17ccbd5497207,2019-03,Merseyside Police,Merseyside Police,-2.967692,53.458940,On or near BROOMFIELD GARDENS,E01006786,Liverpool 003E,Suspect charged
9462b9351b2e347be8c6ea2e7029a5bf290ef74e3c76cc1dc0d17ccbd5497207,2019-03,Merseyside Police,Merseyside Police,-2.967692,53.458940,On or near BROOMFIELD GARDENS,E01006786,Liverpool 003E,Suspect charged
9462b9351b2e347be8c6ea2e7029a5bf290ef74e3c76cc1dc0d17ccbd5497207,2019-03,Merseyside Police,Merseyside Police,-2.967692,53.458940,On or near BROOMFIELD GARDENS,E01006786,Liverpool 003E,Suspect charged
03a2897ea962c88eb8147ad18e5683624f5767c17586a0665bcf7b39c5616f37,2019-03,Merseyside Police,Merseyside Police,-3.068731,53.400495,On or near OBSERVATORY ROAD,E01007123,Wirral 011D,Unable to prosecute suspect
81c17139b2b9aef9931c259ca3de04c187755bfd52c6be48ff09a0f35d219745,2019-03,Merseyside Police,Merseyside Police,-2.682700,53.429430,On or near NEILLS ROAD,E01006898,St. Helens 022A,Suspect charged
d29934f7c622f603c840fcb3767750c1ec06e5b4b4b32079c1e5b9d79a2904a1,2019-03,Merseyside Police,Merseyside Police,-2.981817,53.447112,On or near BALLIOL ROAD EAST,E01006961,Sefton 038B,Unable to prosecute suspect
9b22b49d0057719bd05753e650afb97eaa22ccd47a0ed907ef78a22430fb95d3,2019-03,Merseyside Police,Merseyside Police,-2.762144,53.409660,On or near MANOR AVENUE,E01006895,St. Helens 023D,Unable to prosecute suspect
8710ce44fc2ef1832762bf4ee3f8a10b6ff5c2b1da5f6c9541ca5254cd03c511,2019-03,Merseyside Police,Merseyside Police,-2.949449,53.432479,On or near PINEHURST ROAD,E01006544,Liverpool 015C,Unable to prosecute suspect
6abd5a0f0ebe1d2038c6284888bc106c8376cd55d5397c4373fdf25f0cbb1193,2019-03,Merseyside Police,Merseyside Police,-2.838175,53.427298,On or near ASTLEY ROAD,E01006440,Knowsley 010A,Unable to prosecute suspect
6abd5a0f0ebe1d2038c6284888bc106c8376cd55d5397c4373fdf25f0cbb1193,2019-03,Merseyside Police,Merseyside Police,-2.838175,53.427298,On or near ASTLEY ROAD,E01006440,Knowsley 010A,Unable to prosecute suspect
fccaf854a42118e74d3332689b0772f711b79ead091328dadff052b3c12779b7,2019-03,Merseyside Police,Merseyside Police,-2.984694,53.401595,On or near Hospital,E01033754,Liverpool 061B,Unable to prosecute suspect
941bc801b7cd750378a1ceb44e6de8555a244294f2e9158ef9c30c508260a440,2019-03,Merseyside Police,Merseyside Police,-2.703521,53.461678,On or near DEARNLEY AVENUE,E01006815,St. Helens 008F,Investigation complete; no suspect identified
4c27f5fd01b6545ecf1d569016226282f32bb798358cf8aace8f3baa2380d982,2019-03,Merseyside Police,Merseyside Police,-2.993265,53.421489,On or near FRANCINE CLOSE,E01006776,Liverpool 022B,Unable to prosecute suspect
685a2e588227ce8b0e41edc5c0c867cc67a73d56ac014e61793875e5a2768aa4,2019-03,Merseyside Police,Merseyside Police,-3.043368,53.401537,On or near CORPORATION ROAD,E01032903,Wirral 010F,Suspect charged
61b890e2255ac099397d760c90eaa557ec7b94a8c6f8fb9f52a89ee7d6a27485,2019-03,Merseyside Police,Merseyside Police,-2.972731,53.446827,On or near MILTON ROAD,E01006705,Liverpool 009E,Unable to prosecute suspect
